Mainstream category titles,Slug for this,Mainstream category descriptions
Business and self-employed,/business-self-employed,
Employing people,/employing-people,
"Crime, justice, the law and courts",/crime-justice-law-courts,
Money and tax,/money-tax,
Citizenship and life in the UK,/citizenship-life-uk,
"Births, deaths, marriages, parenting and care",/births-deaths-marriages-parenting-care,
"Working, jobs and pensions",/working-jobs-pensions,
"Driving, transport, and travel abroad",driving-transport-travel-abroad,
"Housing, communites and local services",housing-communities-local-services,
Benefits,benefits,
Education and learning,education-learning,
Living with disabilities,disabilities,
